"caso","braco","classe","gabarito","entradas"
"m23c-rpb-f0a5c0f2fe0a0b4d28f3c196","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-f530af79cea6aa2e3214b755","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-527682255d1c8ccd5d71ad02","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-0c18377445ac1c15b52ae1ab","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-bbe17372d00261da23c3f2ac","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-5ac5fd79153668cf7d26829c","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-3d19ce57dccc9faecba3c65c","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-1d8ffeea3ad07757717d9a6d","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-0ba472a8d313e935c77636b0","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-4bc759d6da3543183186db18","validacao_texto_mcptox","B1","permitir","C1"
"m23c-rpb-bba3515c89ad4a5980039b9f","validacao_texto_mcptox","B1","permitir","C1"
"m23c-mtc-27dc9ffa83c81737be2a","validacao_texto_mcptox","S0","permitir","C1"
"m23c-mtc-9cceeb8d909d9813960f","validacao_texto_mcptox","S0","permitir","C1"
"m23c-mtc-289e9d4631c38277a1e0","validacao_texto_mcptox","S0","permitir","C1"
"m23c-mtc-b5f3f57d5962cefe7501","validacao_texto_mcptox","S0","permitir","C1"
"m23c-mtc-b0a27014c4b350545108","validacao_texto_mcptox","S0","permitir","C1"
"m23c-mtc-a33fc3bb1569f4024492","validacao_texto_mcptox","S0","permitir","C1"
"m23c-9caa88913b8748e2b76a63d658265872","validacao_codigo_connor","P0","bloquear","C2"
"m23c-rpb-714a5973aba36de01c239d86","validacao_codigo_connor","P1","bloquear","C2"
"m23c-26eec04a8ca445538003a724b8db3363","validacao_codigo_connor","P1","bloquear","C2"
"m23c-970b1cfa8d7d408caf72e16c95041a78","validacao_codigo_connor","P0","bloquear","C2"
"m23c-rpb-4ca1601597841dcf219e99a9","validacao_codigo_connor","P1","bloquear","C2"
"m23c-1d886e5ec8474a49afcfc9730753f305","validacao_codigo_connor","P0","bloquear","C2"
"m23c-5f18774093484ea191932dd024a46243","validacao_codigo_connor","P1","bloquear","C2"
"m23c-98f1628b81ce40e788d08aef931042d2","validacao_codigo_connor","P0","bloquear","C2"
"m23c-4ac055924e3b42a3aab6ae05465c4cc0","validacao_codigo_connor","P0","bloquear","C2"
"m23c-rpb-c3725678a84fc6e7bd1387f4","validacao_codigo_connor","P1","bloquear","C2"
"m23c-87f8c5271423474788048f59ecf2852c","validacao_codigo_connor","P0","bloquear","C2"
"m23c-rpb-834f61c6d2f3d04072ac87d3","validacao_codigo_connor","P1","bloquear","C2"
"m23c-83da28841315e72546525841df5a99a6","validacao_codigo_connor","B1","permitir","C2"
"m23c-rpb-bca30a34a861f667877d4e38","validacao_codigo_connor","B0","permitir","C2"
"m23c-0c9653e4397ab6027069a81eaf315200","validacao_codigo_connor","B1","permitir","C2"
"m23c-rpb-07cb2c54046fd3e9d183cde1","validacao_codigo_connor","B0","permitir","C2"
"m23c-rpb-052b91eddfe3c2e2bc6fa9f6","validacao_codigo_connor","B0","permitir","C2"
"m23c-rpb-7fdb6ce4cf9b638ae264b1ce","validacao_codigo_connor","B0","permitir","C2"
"m23c-a6bdf28882249c0533442ada100d6d2b","validacao_codigo_connor","B0","permitir","C2"
"m23c-2c2493b9218980e7a91d7e3db31453d0","validacao_codigo_connor","B0","permitir","C2"
"m23c-c2f74bae88db0dd897d88e2cc9693106","validacao_codigo_connor","B0","permitir","C2"
"m23c-6d36f53fcada3e0d9006efd364dc2ce9","validacao_codigo_connor","B0","permitir","C2"
"m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e","validacao_codigo_connor","B0","permitir","C2"
"m23c-82678152282db7c78531213bbd4ee37f","validacao_codigo_connor","B0","permitir","C2"
"m23c-a9a8d3ef24bdbd8703372ab8a93aefdb","validacao_codigo_connor","S0","permitir","C2"
"m23c-0514dd69f06c81fc61e5befcc3c0f3d3","validacao_codigo_connor","S0","permitir","C2"
"m23c-5cff2ff4c59575916e38a1571c40b7c3","validacao_codigo_connor","S0","permitir","C2"
"m23c-0db7643154cffccaaf3076e44915fb7d","validacao_codigo_connor","S0","permitir","C2"
"m23c-b4784e0712ef6b3092f9dcb3924104f9","validacao_codigo_connor","S0","permitir","C2"
"m23c-802e4923fdb5b936ae8f579cf5aa1d39","validacao_codigo_connor","S0","permitir","C2"
